"crop","pest","pest_species","plant_stage","symptom_leaf_damage","symptom_yellowing","symptom_curling","symptom_spots","symptom_holes","symptom_wilting","pest_density","affected_area_percent","severity","economic_threshold","temperature","humidity","season","intervention","recommendation_class","active_ingredient","formulation","dose","application_method","symptom_text","evidence_type","source","source_date"
"Soybean","Caterpillars","Defoliators","Vegetative stage","1","0","0","0","1","0","","","","Use threshold-based IPM","","","","Integrated pest management for soybean defoliators","defoliator_management","Bacillus thuringiensis","Biological formulation","1.0 kg/ha","Foliar spray","Leaf feeding and defoliation caused by caterpillar defoliators.","official agricultural extension","APEDA FarmerConnect Integrated Pest Management",""
"Pigeon Pea","Caterpillars","Helicoverpa armigera","Flowering and pod formation","1","0","0","0","1","0","","","","Use threshold-based IPM","","","","Apply crop-specific pod borer management at flowering and pod formation","pod_borer_management","Spinosad","45 SC","0.3 ml/L","Foliar spray","Caterpillar feeding and pod damage caused by Helicoverpa armigera.","official agricultural advisory","ICAR Kharif Agro-Advisory 2025","2025"
"Cotton","Grasshoppers","Crop-specific grasshopper species","Crop growth stage","1","0","0","0","1","0","Monitor population and crop damage","","","Use crop-specific economic threshold","","","","Integrated pest management; monitor grasshopper population and crop damage before intervention.","grasshopper_management","","","","","Irregular feeding on leaves and possible defoliation caused by grasshoppers.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Wheat","Grasshoppers","Crop-specific grasshopper species","Crop growth stage","1","0","0","0","1","0","Monitor population and crop damage","","","Use crop-specific economic threshold","","","","Integrated pest management; monitor grasshopper population and crop damage before intervention.","grasshopper_management","","","","","Irregular feeding on leaves and possible defoliation caused by grasshoppers.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Maize","Grasshoppers","Crop-specific grasshopper species","Crop growth stage","1","0","0","0","1","0","Monitor population and crop damage","","","Use crop-specific economic threshold","","","","Integrated pest management; monitor grasshopper population and crop damage before intervention.","grasshopper_management","","","","","Irregular feeding on leaves and possible defoliation caused by grasshoppers.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Soybean","Grasshoppers","Crop-specific grasshopper species","Crop growth stage","1","0","0","0","1","0","Monitor population and crop damage","","","Use crop-specific economic threshold","","","","Integrated pest management; monitor grasshopper population and crop damage before intervention.","grasshopper_management","","","","","Irregular feeding on leaves and possible defoliation caused by grasshoppers.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Sugarcane","Grasshoppers","Crop-specific grasshopper species","Crop growth stage","1","0","0","0","1","0","Monitor population and crop damage","","","Use crop-specific economic threshold","","","","Integrated pest management; monitor grasshopper population and crop damage before intervention.","grasshopper_management","","","","","Irregular feeding on leaves and possible defoliation caused by grasshoppers.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Tomato","Grasshoppers","Crop-specific grasshopper species","Crop growth stage","1","0","0","0","1","0","Monitor population and crop damage","","","Use crop-specific economic threshold","","","","Integrated pest management; monitor grasshopper population and crop damage before intervention.","grasshopper_management","","","","","Irregular feeding on leaves and possible defoliation caused by grasshoppers.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Potato","Grasshoppers","Crop-specific grasshopper species","Crop growth stage","1","0","0","0","1","0","Monitor population and crop damage","","","Use crop-specific economic threshold","","","","Integrated pest management; monitor grasshopper population and crop damage before intervention.","grasshopper_management","","","","","Irregular feeding on leaves and possible defoliation caused by grasshoppers.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Groundnut","Grasshoppers","Crop-specific grasshopper species","Crop growth stage","1","0","0","0","1","0","Monitor population and crop damage","","","Use crop-specific economic threshold","","","","Integrated pest management; monitor grasshopper population and crop damage before intervention.","grasshopper_management","","","","","Irregular feeding on leaves and possible defoliation caused by grasshoppers.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Chickpea","Grasshoppers","Crop-specific grasshopper species","Crop growth stage","1","0","0","0","1","0","Monitor population and crop damage","","","Use crop-specific economic threshold","","","","Integrated pest management; monitor grasshopper population and crop damage before intervention.","grasshopper_management","","","","","Irregular feeding on leaves and possible defoliation caused by grasshoppers.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Pigeon Pea","Grasshoppers","Crop-specific grasshopper species","Crop growth stage","1","0","0","0","1","0","Monitor population and crop damage","","","Use crop-specific economic threshold","","","","Integrated pest management; monitor grasshopper population and crop damage before intervention.","grasshopper_management","","","","","Irregular feeding on leaves and possible defoliation caused by grasshoppers.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Other","Grasshoppers","Crop-specific grasshopper species","Crop growth stage","1","0","0","0","1","0","Monitor population and crop damage","","","Use crop-specific economic threshold","","","","Integrated pest management; monitor grasshopper population and crop damage before intervention.","grasshopper_management","","","","","Irregular feeding on leaves and possible defoliation caused by grasshoppers.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Cotton","Weevils","Crop-specific weevil species","Crop growth stage","1","0","0","0","1","1","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the weevil species and assess crop damage before treatment.","weevil_management","","","","","Leaf-margin notching, feeding damage, stem/root injury or plant wilting may occur depending on the weevil species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Rice","Weevils","Crop-specific weevil species","Crop growth stage","1","0","0","0","1","1","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the weevil species and assess crop damage before treatment.","weevil_management","","","","","Leaf-margin notching, feeding damage, stem/root injury or plant wilting may occur depending on the weevil species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Wheat","Weevils","Crop-specific weevil species","Crop growth stage","1","0","0","0","1","1","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the weevil species and assess crop damage before treatment.","weevil_management","","","","","Leaf-margin notching, feeding damage, stem/root injury or plant wilting may occur depending on the weevil species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Maize","Weevils","Crop-specific weevil species","Crop growth stage","1","0","0","0","1","1","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the weevil species and assess crop damage before treatment.","weevil_management","","","","","Leaf-margin notching, feeding damage, stem/root injury or plant wilting may occur depending on the weevil species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Soybean","Weevils","Crop-specific weevil species","Crop growth stage","1","0","0","0","1","1","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the weevil species and assess crop damage before treatment.","weevil_management","","","","","Leaf-margin notching, feeding damage, stem/root injury or plant wilting may occur depending on the weevil species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Sugarcane","Weevils","Crop-specific weevil species","Crop growth stage","1","0","0","0","1","1","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the weevil species and assess crop damage before treatment.","weevil_management","","","","","Leaf-margin notching, feeding damage, stem/root injury or plant wilting may occur depending on the weevil species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Tomato","Weevils","Crop-specific weevil species","Crop growth stage","1","0","0","0","1","1","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the weevil species and assess crop damage before treatment.","weevil_management","","","","","Leaf-margin notching, feeding damage, stem/root injury or plant wilting may occur depending on the weevil species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Potato","Weevils","Crop-specific weevil species","Crop growth stage","1","0","0","0","1","1","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the weevil species and assess crop damage before treatment.","weevil_management","","","","","Leaf-margin notching, feeding damage, stem/root injury or plant wilting may occur depending on the weevil species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Groundnut","Weevils","Crop-specific weevil species","Crop growth stage","1","0","0","0","1","1","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the weevil species and assess crop damage before treatment.","weevil_management","","","","","Leaf-margin notching, feeding damage, stem/root injury or plant wilting may occur depending on the weevil species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Chickpea","Weevils","Crop-specific weevil species","Crop growth stage","1","0","0","0","1","1","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the weevil species and assess crop damage before treatment.","weevil_management","","","","","Leaf-margin notching, feeding damage, stem/root injury or plant wilting may occur depending on the weevil species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Pigeon Pea","Weevils","Crop-specific weevil species","Crop growth stage","1","0","0","0","1","1","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the weevil species and assess crop damage before treatment.","weevil_management","","","","","Leaf-margin notching, feeding damage, stem/root injury or plant wilting may occur depending on the weevil species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Other","Weevils","Crop-specific weevil species","Crop growth stage","1","0","0","0","1","1","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the weevil species and assess crop damage before treatment.","weevil_management","","","","","Leaf-margin notching, feeding damage, stem/root injury or plant wilting may occur depending on the weevil species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Cotton","Beetles","Crop-specific beetle species","Crop growth stage","1","0","0","0","1","0","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the beetle species and assess crop damage before treatment.","beetle_management","","","","","Leaf feeding, holes, defoliation or other feeding damage may occur depending on the beetle species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Rice","Beetles","Crop-specific beetle species","Crop growth stage","1","0","0","0","1","0","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the beetle species and assess crop damage before treatment.","beetle_management","","","","","Leaf feeding, holes, defoliation or other feeding damage may occur depending on the beetle species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Wheat","Beetles","Crop-specific beetle species","Crop growth stage","1","0","0","0","1","0","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the beetle species and assess crop damage before treatment.","beetle_management","","","","","Leaf feeding, holes, defoliation or other feeding damage may occur depending on the beetle species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Maize","Beetles","Crop-specific beetle species","Crop growth stage","1","0","0","0","1","0","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the beetle species and assess crop damage before treatment.","beetle_management","","","","","Leaf feeding, holes, defoliation or other feeding damage may occur depending on the beetle species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Soybean","Beetles","Crop-specific beetle species","Crop growth stage","1","0","0","0","1","0","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the beetle species and assess crop damage before treatment.","beetle_management","","","","","Leaf feeding, holes, defoliation or other feeding damage may occur depending on the beetle species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Sugarcane","Beetles","Crop-specific beetle species","Crop growth stage","1","0","0","0","1","0","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the beetle species and assess crop damage before treatment.","beetle_management","","","","","Leaf feeding, holes, defoliation or other feeding damage may occur depending on the beetle species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Tomato","Beetles","Crop-specific beetle species","Crop growth stage","1","0","0","0","1","0","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the beetle species and assess crop damage before treatment.","beetle_management","","","","","Leaf feeding, holes, defoliation or other feeding damage may occur depending on the beetle species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Potato","Beetles","Crop-specific beetle species","Crop growth stage","1","0","0","0","1","0","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the beetle species and assess crop damage before treatment.","beetle_management","","","","","Leaf feeding, holes, defoliation or other feeding damage may occur depending on the beetle species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Groundnut","Beetles","Crop-specific beetle species","Crop growth stage","1","0","0","0","1","0","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the beetle species and assess crop damage before treatment.","beetle_management","","","","","Leaf feeding, holes, defoliation or other feeding damage may occur depending on the beetle species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Chickpea","Beetles","Crop-specific beetle species","Crop growth stage","1","0","0","0","1","0","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the beetle species and assess crop damage before treatment.","beetle_management","","","","","Leaf feeding, holes, defoliation or other feeding damage may occur depending on the beetle species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Pigeon Pea","Beetles","Crop-specific beetle species","Crop growth stage","1","0","0","0","1","0","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the beetle species and assess crop damage before treatment.","beetle_management","","","","","Leaf feeding, holes, defoliation or other feeding damage may occur depending on the beetle species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Other","Beetles","Crop-specific beetle species","Crop growth stage","1","0","0","0","1","0","Monitor adult and larval activity","","","Use crop-specific economic threshold","","","","Integrated pest management; identify the beetle species and assess crop damage before treatment.","beetle_management","","","","","Leaf feeding, holes, defoliation or other feeding damage may occur depending on the beetle species.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Cotton","Moths","Crop-specific moth species","Crop growth stage","1","0","0","0","1","0","Monitor moth activity and larval damage","","","Use crop-specific economic threshold","","","","Adult moth detection alone does not confirm crop damage; inspect plants for larvae and feeding symptoms before treatment.","moth_management","","","","","Adult moths may be associated with larval feeding damage; confirm larvae and crop-specific pest identity before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Rice","Moths","Crop-specific moth species","Crop growth stage","1","0","0","0","1","0","Monitor moth activity and larval damage","","","Use crop-specific economic threshold","","","","Adult moth detection alone does not confirm crop damage; inspect plants for larvae and feeding symptoms before treatment.","moth_management","","","","","Adult moths may be associated with larval feeding damage; confirm larvae and crop-specific pest identity before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Wheat","Moths","Crop-specific moth species","Crop growth stage","1","0","0","0","1","0","Monitor moth activity and larval damage","","","Use crop-specific economic threshold","","","","Adult moth detection alone does not confirm crop damage; inspect plants for larvae and feeding symptoms before treatment.","moth_management","","","","","Adult moths may be associated with larval feeding damage; confirm larvae and crop-specific pest identity before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Maize","Moths","Crop-specific moth species","Crop growth stage","1","0","0","0","1","0","Monitor moth activity and larval damage","","","Use crop-specific economic threshold","","","","Adult moth detection alone does not confirm crop damage; inspect plants for larvae and feeding symptoms before treatment.","moth_management","","","","","Adult moths may be associated with larval feeding damage; confirm larvae and crop-specific pest identity before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Soybean","Moths","Crop-specific moth species","Crop growth stage","1","0","0","0","1","0","Monitor moth activity and larval damage","","","Use crop-specific economic threshold","","","","Adult moth detection alone does not confirm crop damage; inspect plants for larvae and feeding symptoms before treatment.","moth_management","","","","","Adult moths may be associated with larval feeding damage; confirm larvae and crop-specific pest identity before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Sugarcane","Moths","Crop-specific moth species","Crop growth stage","1","0","0","0","1","0","Monitor moth activity and larval damage","","","Use crop-specific economic threshold","","","","Adult moth detection alone does not confirm crop damage; inspect plants for larvae and feeding symptoms before treatment.","moth_management","","","","","Adult moths may be associated with larval feeding damage; confirm larvae and crop-specific pest identity before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Tomato","Moths","Crop-specific moth species","Crop growth stage","1","0","0","0","1","0","Monitor moth activity and larval damage","","","Use crop-specific economic threshold","","","","Adult moth detection alone does not confirm crop damage; inspect plants for larvae and feeding symptoms before treatment.","moth_management","","","","","Adult moths may be associated with larval feeding damage; confirm larvae and crop-specific pest identity before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Potato","Moths","Crop-specific moth species","Crop growth stage","1","0","0","0","1","0","Monitor moth activity and larval damage","","","Use crop-specific economic threshold","","","","Adult moth detection alone does not confirm crop damage; inspect plants for larvae and feeding symptoms before treatment.","moth_management","","","","","Adult moths may be associated with larval feeding damage; confirm larvae and crop-specific pest identity before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Groundnut","Moths","Crop-specific moth species","Crop growth stage","1","0","0","0","1","0","Monitor moth activity and larval damage","","","Use crop-specific economic threshold","","","","Adult moth detection alone does not confirm crop damage; inspect plants for larvae and feeding symptoms before treatment.","moth_management","","","","","Adult moths may be associated with larval feeding damage; confirm larvae and crop-specific pest identity before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Chickpea","Moths","Crop-specific moth species","Crop growth stage","1","0","0","0","1","0","Monitor moth activity and larval damage","","","Use crop-specific economic threshold","","","","Adult moth detection alone does not confirm crop damage; inspect plants for larvae and feeding symptoms before treatment.","moth_management","","","","","Adult moths may be associated with larval feeding damage; confirm larvae and crop-specific pest identity before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Pigeon Pea","Moths","Crop-specific moth species","Crop growth stage","1","0","0","0","1","0","Monitor moth activity and larval damage","","","Use crop-specific economic threshold","","","","Adult moth detection alone does not confirm crop damage; inspect plants for larvae and feeding symptoms before treatment.","moth_management","","","","","Adult moths may be associated with larval feeding damage; confirm larvae and crop-specific pest identity before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Other","Moths","Crop-specific moth species","Crop growth stage","1","0","0","0","1","0","Monitor moth activity and larval damage","","","Use crop-specific economic threshold","","","","Adult moth detection alone does not confirm crop damage; inspect plants for larvae and feeding symptoms before treatment.","moth_management","","","","","Adult moths may be associated with larval feeding damage; confirm larvae and crop-specific pest identity before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Cotton","Ants","Crop-specific ant species","Crop growth stage","0","0","0","0","0","0","Monitor ant activity and inspect plants for associated damage","","","Use crop-specific economic threshold","","","","Ant presence alone does not confirm crop damage; inspect plants and identify the cause before treatment. Use integrated pest management and protect beneficial insects.","ant_management","","","","","Ant activity may be associated with sap-feeding insects or other crop conditions; confirm the underlying cause before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Rice","Ants","Crop-specific ant species","Crop growth stage","0","0","0","0","0","0","Monitor ant activity and inspect plants for associated damage","","","Use crop-specific economic threshold","","","","Ant presence alone does not confirm crop damage; inspect plants and identify the cause before treatment. Use integrated pest management and protect beneficial insects.","ant_management","","","","","Ant activity may be associated with sap-feeding insects or other crop conditions; confirm the underlying cause before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Wheat","Ants","Crop-specific ant species","Crop growth stage","0","0","0","0","0","0","Monitor ant activity and inspect plants for associated damage","","","Use crop-specific economic threshold","","","","Ant presence alone does not confirm crop damage; inspect plants and identify the cause before treatment. Use integrated pest management and protect beneficial insects.","ant_management","","","","","Ant activity may be associated with sap-feeding insects or other crop conditions; confirm the underlying cause before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Maize","Ants","Crop-specific ant species","Crop growth stage","0","0","0","0","0","0","Monitor ant activity and inspect plants for associated damage","","","Use crop-specific economic threshold","","","","Ant presence alone does not confirm crop damage; inspect plants and identify the cause before treatment. Use integrated pest management and protect beneficial insects.","ant_management","","","","","Ant activity may be associated with sap-feeding insects or other crop conditions; confirm the underlying cause before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Soybean","Ants","Crop-specific ant species","Crop growth stage","0","0","0","0","0","0","Monitor ant activity and inspect plants for associated damage","","","Use crop-specific economic threshold","","","","Ant presence alone does not confirm crop damage; inspect plants and identify the cause before treatment. Use integrated pest management and protect beneficial insects.","ant_management","","","","","Ant activity may be associated with sap-feeding insects or other crop conditions; confirm the underlying cause before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Sugarcane","Ants","Crop-specific ant species","Crop growth stage","0","0","0","0","0","0","Monitor ant activity and inspect plants for associated damage","","","Use crop-specific economic threshold","","","","Ant presence alone does not confirm crop damage; inspect plants and identify the cause before treatment. Use integrated pest management and protect beneficial insects.","ant_management","","","","","Ant activity may be associated with sap-feeding insects or other crop conditions; confirm the underlying cause before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Tomato","Ants","Crop-specific ant species","Crop growth stage","0","0","0","0","0","0","Monitor ant activity and inspect plants for associated damage","","","Use crop-specific economic threshold","","","","Ant presence alone does not confirm crop damage; inspect plants and identify the cause before treatment. Use integrated pest management and protect beneficial insects.","ant_management","","","","","Ant activity may be associated with sap-feeding insects or other crop conditions; confirm the underlying cause before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Potato","Ants","Crop-specific ant species","Crop growth stage","0","0","0","0","0","0","Monitor ant activity and inspect plants for associated damage","","","Use crop-specific economic threshold","","","","Ant presence alone does not confirm crop damage; inspect plants and identify the cause before treatment. Use integrated pest management and protect beneficial insects.","ant_management","","","","","Ant activity may be associated with sap-feeding insects or other crop conditions; confirm the underlying cause before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Groundnut","Ants","Crop-specific ant species","Crop growth stage","0","0","0","0","0","0","Monitor ant activity and inspect plants for associated damage","","","Use crop-specific economic threshold","","","","Ant presence alone does not confirm crop damage; inspect plants and identify the cause before treatment. Use integrated pest management and protect beneficial insects.","ant_management","","","","","Ant activity may be associated with sap-feeding insects or other crop conditions; confirm the underlying cause before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Chickpea","Ants","Crop-specific ant species","Crop growth stage","0","0","0","0","0","0","Monitor ant activity and inspect plants for associated damage","","","Use crop-specific economic threshold","","","","Ant presence alone does not confirm crop damage; inspect plants and identify the cause before treatment. Use integrated pest management and protect beneficial insects.","ant_management","","","","","Ant activity may be associated with sap-feeding insects or other crop conditions; confirm the underlying cause before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Pigeon Pea","Ants","Crop-specific ant species","Crop growth stage","0","0","0","0","0","0","Monitor ant activity and inspect plants for associated damage","","","Use crop-specific economic threshold","","","","Ant presence alone does not confirm crop damage; inspect plants and identify the cause before treatment. Use integrated pest management and protect beneficial insects.","ant_management","","","","","Ant activity may be associated with sap-feeding insects or other crop conditions; confirm the underlying cause before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Other","Ants","Crop-specific ant species","Crop growth stage","0","0","0","0","0","0","Monitor ant activity and inspect plants for associated damage","","","Use crop-specific economic threshold","","","","Ant presence alone does not confirm crop damage; inspect plants and identify the cause before treatment. Use integrated pest management and protect beneficial insects.","ant_management","","","","","Ant activity may be associated with sap-feeding insects or other crop conditions; confirm the underlying cause before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Cotton","Bees","Beneficial bee species","Crop flowering stage","0","0","0","0","0","0","Monitor bee activity, especially during flowering","","","Not applicable - beneficial pollinator","","","","Protect bees and avoid unnecessary pesticide applications during flowering. Use integrated pest management and preserve flowering habitats and pollinator activity.","beneficial_insect_protection","","","","","Bees are beneficial pollinators and their presence is not evidence of a crop pest infestation.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Rice","Bees","Beneficial bee species","Crop flowering stage","0","0","0","0","0","0","Monitor bee activity, especially during flowering","","","Not applicable - beneficial pollinator","","","","Protect bees and avoid unnecessary pesticide applications during flowering. Use integrated pest management and preserve flowering habitats and pollinator activity.","beneficial_insect_protection","","","","","Bees are beneficial pollinators and their presence is not evidence of a crop pest infestation.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
